Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Players,Season,ALL_STAR
Marques Bolden,C,21,CLE,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,3,19.8,,,,0.0,74.7,37.0,0.0,16.2,0.0,,0.0,,0.0,0.0,0.0,.282,,-5.8,11.3,5.5,0.0,,,NO
Jordan Bone,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2,53,0.8,.300,.500,.000,0.0,8.7,4.3,21.0,0.9,0.0,9.1,18.1,,-0.1,0.0,-0.1,-0.118,,-9.0,-2.9,-11.9,-0.1,,,NO
Isaac Bonga,SF,20,WAS,58,41,17.7,1.7,3.2,.522,0.4,0.9,.400,1.3,2.2,.574,.582,0.9,1.1,.813,1.1,2.1,3.2,1.1,0.6,0.4,0.7,2.3,4.6,1025,10.7,.627,.299,.348,6.3,13.6,9.8,7.7,1.7,1.8,16.2,10.3,,1.3,0.4,1.7,.081,,-2.4,0.0,-2.4,-0.1,,,NO
Devin Booker,SG,23,PHO,62,62,36.1,8.8,18.0,.487,2.0,5.6,.360,6.7,12.4,.544,.543,6.5,7.1,.916,0.4,3.7,4.2,6.6,0.7,0.3,3.9,3.0,26.1,2241,19.8,.617,.313,.395,1.3,11.7,6.4,30.2,1.0,0.6,15.7,29.5,,4.8,1.2,6.0,.129,,3.1,-1.4,1.7,2.1,Devin Booker,2020.0,YES
Chris Boucher,PF,27,TOR,55,0,13.2,2.2,4.7,.458,0.5,1.8,.283,1.7,2.9,.565,.512,1.5,1.9,.796,1.7,2.7,4.4,0.4,0.4,1.0,0.4,1.9,6.3,724,19.8,.570,.381,.396,14.0,21.1,17.7,4.7,1.3,7.1,7.0,19.4,,1.7,1.5,3.2,.214,,0.4,1.0,1.4,0.6,,,NO
Brian Bowen,SG,21,IND,5,1,5.8,0.4,1.8,.222,0.0,0.4,.000,0.4,1.4,.286,.222,0.0,0.0,,0.2,1.2,1.4,0.0,0.0,0.2,0.2,0.4,0.8,29,-2.0,.222,.222,.000,3.8,22.7,13.3,0.0,0.0,3.0,10.0,15.2,,-0.1,0.0,-0.1,-0.154,,-9.7,-2.1,-11.8,-0.1,,,NO
Ky Bowman,PG,22,GSW,45,12,22.6,3.0,7.1,.417,0.7,2.4,.308,2.2,4.8,.472,.469,0.8,0.9,.829,0.5,2.2,2.7,2.9,1.0,0.2,1.6,2.3,7.4,1015,9.2,.494,.333,.128,2.5,10.7,6.5,19.4,2.1,0.9,17.1,17.2,,-0.6,0.6,-0.1,-0.003,,-4.0,-0.3,-4.3,-0.6,,,NO
Avery Bradley,SG,29,LAL,49,44,24.2,3.5,7.8,.444,1.3,3.5,.364,2.2,4.3,.510,.526,0.4,0.5,.833,0.4,2.0,2.3,1.3,0.9,0.1,1.0,2.2,8.6,1186,8.9,.537,.452,.063,1.7,8.7,5.3,7.1,1.7,0.4,10.7,15.7,,0.2,1.4,1.6,.066,,-2.9,0.5,-2.4,-0.1,,,NO
Tony Bradley,C,22,UTA,50,2,10.7,2.1,3.1,.665,0.0,0.0,1.000,2.0,3.1,.662,.668,0.5,0.8,.650,1.8,2.5,4.3,0.3,0.2,0.5,0.5,2.0,4.7,535,21.8,.675,.006,.258,19.3,24.7,22.1,4.9,1.1,3.9,11.8,16.1,,1.8,0.9,2.7,.242,,0.9,0.4,1.3,0.4,,,NO
Jarrell Brantley,PF,23,UTA,5,0,2.6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,0.2,0.0,0.4,0.4,0.4,0.0,13,2.7,,,,0.0,40.3,21.1,9.2,0.0,12.8,100.0,6.8,,0.0,0.0,0.0,-0.053,,-8.6,5.9,-2.7,0.0,,,NO
Ignas Brazdeikis,SF,21,NYK,9,0,5.9,0.7,2.4,.273,0.1,1.0,.111,0.6,1.4,.385,.295,0.4,0.6,.800,0.2,0.3,0.6,0.4,0.0,0.1,0.2,0.3,1.9,53,3.3,.351,.409,.227,3.9,6.2,5.0,10.6,0.0,1.8,7.6,21.0,,-0.1,0.0,-0.1,-0.109,,-5.0,-3.9,-8.9,-0.1,,,NO
Mikal Bridges,SF,23,PHO,65,24,27.3,3.2,6.3,.516,0.9,2.4,.352,2.4,3.8,.621,.585,1.4,1.6,.848,0.9,3.1,4.0,1.8,1.4,0.6,1.0,2.2,8.7,1772,13.0,.623,.391,.258,3.6,12.8,8.1,8.9,2.5,1.9,12.5,12.4,,2.2,1.9,4.1,.111,,-0.7,1.5,0.8,1.3,,,NO
Miles Bridges,SF,21,CHO,65,64,30.7,4.9,11.6,.424,1.5,4.6,.330,3.4,7.0,.486,.489,1.6,2.0,.809,1.4,4.2,5.6,1.8,0.6,0.7,1.5,2.0,13.0,1995,12.1,.520,.398,.174,4.6,15.6,9.9,9.4,1.0,2.2,10.5,20.0,,0.3,1.3,1.6,.038,,-1.5,-1.0,-2.5,-0.3,,,NO
Oshae Brissett,SF,21,TOR,19,0,7.1,0.7,1.9,.361,0.2,0.8,.200,0.5,1.1,.476,.403,0.4,0.5,.800,0.5,0.9,1.4,0.4,0.2,0.1,0.4,0.9,1.9,135,6.7,.458,.417,.278,7.2,13.0,10.2,7.0,1.4,0.7,14.8,15.0,,-0.1,0.2,0.1,.042,,-5.7,0.3,-5.4,-0.1,,,NO
Ryan Broekhoff,SG,29,DAL,17,1,10.6,1.3,3.5,.373,1.2,3.0,.392,0.1,0.5,.250,.542,0.4,0.5,.875,0.3,2.2,2.5,0.6,0.3,0.2,0.4,0.9,4.2,180,13.1,.568,.864,.136,3.0,21.7,12.5,8.3,1.3,1.9,8.8,16.3,,0.2,0.2,0.4,.116,,0.4,0.4,0.9,0.1,,,NO
Malcolm Brogdon,PG,27,IND,48,48,30.7,6.0,13.7,.439,1.3,4.1,.313,4.8,9.7,.491,.485,3.0,3.4,.895,0.8,3.9,4.7,7.1,0.7,0.2,2.4,1.8,16.3,1472,17.8,.537,.296,.246,3.0,13.8,8.5,34.5,1.1,0.5,13.6,25.2,,2.0,1.4,3.5,.113,,2.2,-0.5,1.7,1.4,,,NO
Dillon Brooks,SG,24,MEM,65,65,28.5,5.7,14.2,.402,2.0,5.5,.369,3.7,8.7,.423,.474,2.2,2.7,.809,0.9,2.3,3.3,2.0,0.9,0.4,1.7,3.8,15.7,1851,11.1,.508,.387,.192,3.5,8.4,6.0,10.0,1.4,1.2,9.7,25.0,,-0.3,1.3,1.0,.025,,-2.8,-1.5,-4.3,-1.1,,,NO
Bruce Brown,SG,23,DET,58,43,28.2,3.4,7.7,.443,0.6,1.7,.344,2.8,6.1,.470,.480,1.5,2.1,.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9,1634,11.9,.518,.215,.266,4.2,15.0,9.5,20.4,1.9,1.5,16.7,16.0,,0.8,1.4,2.1,.062,,-2.0,0.8,-1.2,0.3,,,NO
Charlie Brown,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0,40,11.1,.472,.474,.263,5.3,5.5,5.4,7.3,2.3,4.2,12.4,25.1,,0.0,0.0,0.0,-0.028,,-1.1,-1.4,-2.5,0.0,,,NO
Jaylen Brown,SF,23,BOS,50,50,34.0,7.6,15.4,.490,2.1,5.6,.381,5.4,9.8,.552,.559,3.2,4.3,.736,1.1,5.3,6.4,2.2,1.1,0.3,2.3,3.0,20.4,1702,17.1,.589,.364,.280,3.4,16.5,10.0,10.2,1.6,0.9,11.8,24.7,,2.1,2.3,4.5,.126,,1.0,-0.1,0.9,1.2,,,NO
Moses Brown,C,20,POR,9,0,3.7,0.4,1.1,.400,0.0,0.0,,0.4,1.1,.400,.400,0.3,0.9,.375,0.3,1.2,1.6,0.1,0.1,0.1,0.3,0.8,1.2,33,6.7,.407,.000,.800,9.6,34.0,22.0,4.1,1.4,2.6,18.2,21.2,,-0.1,0.0,0.0,-0.062,,-8.2,-1.7,-9.9,-0.1,,,NO
Sterling Brown,SF,24,MIL,45,1,14.8,1.8,4.8,.367,0.8,2.5,.316,1.0,2.3,.423,.450,0.6,0.8,.771,0.6,3.0,3.7,1.0,0.5,0.2,0.8,1.0,5.0,665,9.3,.478,.523,.161,4.4,19.2,12.3,8.8,1.5,0.9,13.4,16.7,,-0.4,1.3,1.0,.071,,-3.1,1.0,-2.0,0.0,,,NO
Troy Brown Jr.,SG,20,WAS,61,14,24.9,3.8,8.3,.453,0.8,2.4,.345,2.9,5.9,.496,.502,1.4,1.9,.754,1.0,4.3,5.3,2.3,1.2,0.1,1.1,1.8,9.7,1519,13.7,.534,.287,.225,4.4,19.6,11.7,13.0,2.3,0.3,10.5,17.0,,1.2,0.9,2.2,.069,,-0.8,-0.4,-1.3,0.3,,,NO
Jalen Brunson,PG,23,DAL,57,16,17.9,3.2,6.8,.466,0.8,2.1,.358,2.4,4.7,.515,.522,1.1,1.3,.813,0.4,2.0,2.4,3.3,0.4,0.1,1.2,1.3,8.2,1022,15.0,.553,.309,.193,2.3,11.3,6.9,26.9,1.0,0.3,13.6,20.4,,1.6,0.7,2.3,.108,,0.1,-0.9,-0.8,0.3,,,NO
Thomas Bryant,C,22,WAS,38,28,23.7,4.8,8.1,.599,0.6,1.4,.407,4.3,6.7,.640,.635,1.8,2.5,.737,2.0,4.9,6.8,1.9,0.4,0.9,1.3,2.2,12.1,901,20.0,.659,.176,.309,8.8,23.4,15.8,11.9,0.7,3.2,12.1,18.3,,2.4,0.5,2.9,.153,,2.1,-1.2,0.9,0.7,,,NO
Reggie Bullock,SG,28,NYK,29,19,23.6,3.1,7.7,.402,1.3,3.8,.333,1.8,3.9,.469,.484,0.6,0.7,.810,0.4,1.9,2.3,1.4,0.9,0.1,0.7,1.9,8.1,684,9.3,.502,.496,.094,2.0,8.8,5.3,8.8,1.8,0.4,7.5,15.6,,0.2,0.3,0.5,.036,,-2.7,-0.3,-3.0,-0.2,,,NO
Trey Burke,PG,27,PHI,25,0,13.2,2.4,5.1,.465,0.6,1.5,.421,1.7,3.6,.483,.528,0.5,0.7,.722,0.6,0.8,1.4,2.1,0.3,0.0,0.5,0.8,5.9,329,15.4,.545,.299,.142,5.0,6.7,5.9,24.2,1.0,0.3,8.2,19.3,,0.6,0.2,0.9,.129,,0.7,-1.1,-0.5,0.1,,,NO
Alec Burks,SG,28,TOT,59,18,27.3,4.8,11.9,.404,1.7,4.6,.366,3.1,7.3,.428,.475,3.8,4.3,.896,0.7,3.7,4.4,2.9,1.0,0.3,1.4,2.0,15.1,1612,16.0,.549,.389,.358,2.8,15.2,8.8,16.9,1.7,0.9,9.5,23.8,,1.9,1.1,2.9,.088,,0.6,-0.7,-0.2,0.7,,,NO
Alec Burks,SG,28,GSW,48,18,29.0,5.1,12.5,.406,1.8,4.7,.375,3.3,7.9,.424,.476,4.2,4.7,.897,0.8,3.9,4.7,3.1,1.0,0.4,1.6,2.2,16.1,1390,16.1,.552,.373,.373,2.8,15.3,8.8,17.4,1.7,1.1,9.8,23.8,,1.6,0.8,2.5,.085,,0.7,-0.6,0.1,0.7,,,NO
Alec Burks,SG,28,PHI,11,0,20.2,3.5,9.1,.390,1.5,4.5,.327,2.1,4.6,.451,.470,2.2,2.5,.889,0.5,2.7,3.3,1.8,0.7,0.0,0.8,1.2,10.7,222,14.9,.527,.490,.270,3.0,14.9,9.0,13.4,1.8,0.0,7.4,23.5,,0.2,0.2,0.5,.103,,-0.2,-1.5,-1.7,0.0,,,NO
Deonte Burton,SG,26,OKC,34,0,8.4,1.1,3.1,.371,0.3,1.4,.217,0.9,1.7,.492,.419,0.2,0.4,.500,0.2,1.2,1.4,0.3,0.1,0.3,0.4,0.8,2.8,284,5.9,.426,.438,.114,2.4,15.9,9.4,5.6,0.9,3.0,11.3,19.3,,-0.6,0.3,-0.3,-0.046,,-5.5,-0.4,-5.8,-0.3,,,NO
Jimmy Butler,SF,30,MIA,54,54,34.3,6.1,13.4,.454,0.5,2.2,.248,5.5,11.2,.494,.474,7.6,9.1,.833,1.8,4.8,6.6,6.1,1.7,0.5,2.2,1.4,20.2,1851,23.4,.583,.162,.679,6.2,15.2,10.9,28.1,2.4,1.6,11.2,25.2,,6.0,2.5,8.5,.219,,4.0,1.3,5.2,3.4,Jimmy Butler,2020.0,YES
Bruno Caboclo,SF,24,TOT,27,0,8.1,1.2,2.9,.416,0.1,1.0,.143,1.0,1.8,.571,.442,0.1,0.2,.800,0.8,1.1,2.0,0.4,0.4,0.6,0.3,0.9,2.7,220,13.4,.455,.364,.065,10.6,14.5,12.6,7.4,2.5,6.3,10.2,16.7,,0.0,0.4,0.3,.070,,-2.5,1.1,-1.4,0.0,,,NO
Bruno Caboclo,SF,24,MEM,22,0,8.7,1.3,3.1,.406,0.2,1.1,.160,1.1,2.0,.545,.435,0.1,0.1,.667,0.8,1.2,2.0,0.5,0.5,0.5,0.3,1.0,2.8,192,11.9,.441,.362,.043,9.5,14.5,12.0,7.0,2.4,5.4,9.1,16.7,,-0.1,0.3,0.2,.051,,-3.3,0.8,-2.4,0.0,,,NO
Bruno Caboclo,SF,24,HOU,5,0,5.6,0.8,1.6,.500,0.0,0.6,.000,0.8,1.0,.800,.500,0.4,0.4,1.000,1.0,0.8,1.8,0.4,0.4,0.8,0.4,0.4,2.0,28,23.6,.563,.375,.250,18.6,15.1,16.9,10.1,3.3,12.2,18.4,16.0,,0.1,0.1,0.1,.200,,2.5,3.2,5.7,0.1,,,NO
Kentavious Caldwell-Pope,SG,26,LAL,63,20,25.4,3.5,7.4,.472,1.4,3.5,.394,2.1,3.9,.543,.565,1.2,1.5,.779,0.6,1.5,2.1,1.7,0.8,0.2,0.9,1.9,9.5,1603,11.6,.592,.474,.204,2.6,6.3,4.5,8.7,1.6,0.7,9.8,14.8,,2.0,1.8,3.8,.114,,-0.8,0.5,-0.3,0.7,,,NO
Vlatko Čančar,SF,22,DEN,14,0,3.2,0.4,1.1,.400,0.1,0.4,.167,0.4,0.6,.556,.433,0.3,0.3,1.000,0.4,0.4,0.7,0.2,0.1,0.1,0.2,0.5,1.2,45,11.4,.507,.400,.267,12.4,12.4,12.4,9.1,1.1,2.0,15.2,19.1,,0.0,0.0,0.1,.069,,-3.5,-1.1,-4.5,0.0,,,NO
Clint Capela,C,25,HOU,39,39,32.8,6.3,9.9,.629,0.0,0.0,,6.3,9.9,.629,.629,1.4,2.7,.529,4.3,9.5,13.8,1.2,0.8,1.8,1.6,2.6,13.9,1279,20.7,.626,.000,.268,13.7,30.5,22.0,5.7,1.2,4.8,12.7,16.0,,2.9,2.1,5.0,.186,,1.1,0.4,1.5,1.1,,,NO
DeMarre Carroll,SF,33,TOT,21,0,11.0,1.0,2.6,.389,0.3,1.3,.259,0.7,1.3,.519,.454,1.1,1.7,.667,0.5,1.7,2.2,0.9,0.2,0.2,0.8,1.3,3.5,231,8.5,.523,.500,.667,5.1,16.7,10.9,10.1,0.8,1.5,18.6,15.8,,0.0,0.1,0.1,.026,,-3.4,-1.1,-4.5,-0.1,,,NO
DeMarre Carroll,SF,33,SAS,15,0,9.0,0.6,1.9,.310,0.2,0.9,.231,0.4,1.1,.375,.362,0.8,1.3,.600,0.5,1.6,2.1,0.7,0.1,0.1,0.7,1.3,2.2,135,5.0,.437,.448,.690,5.6,19.2,12.4,10.2,0.7,1.3,20.9,15.4,,-0.2,0.1,-0.1,-0.038,,-6.0,-1.1,-7.1,-0.2,,,NO
DeMarre Carroll,SF,33,HOU,6,0,16.0,2.0,4.2,.480,0.7,2.3,.286,1.3,1.8,.727,.560,2.0,2.7,.750,0.7,2.0,2.7,1.2,0.3,0.3,1.0,1.3,6.7,96,13.5,.624,.560,.640,4.3,13.2,8.7,10.0,1.0,1.8,15.8,16.4,,0.2,0.1,0.2,.116,,0.3,-1.1,-0.8,0.0,,,NO
Jevon Carter,PG,24,PHO,50,2,15.1,1.6,4.1,.400,0.9,2.3,.393,0.7,1.8,.409,.512,0.4,0.5,.840,0.5,1.5,2.0,1.3,0.8,0.3,0.6,1.5,4.6,754,10.4,.535,.571,.122,3.6,11.0,7.2,11.7,2.4,1.5,12.6,13.9,,0.3,0.7,1.1,.068,,-1.6,1.0,-0.6,0.3,,,NO
Vince Carter,SF,43,ATL,60,0,14.6,1.8,5.1,.352,1.0,3.4,.302,0.8,1.7,.451,.452,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0,876,7.6,.470,.664,.095,2.2,13.2,7.6,7.7,1.2,2.4,9.4,16.6,,-0.6,0.4,-0.2,-0.011,,-3.1,-1.2,-4.3,-0.5,,,NO
Wendell Carter Jr.,C,20,CHI,43,43,29.2,4.3,8.0,.534,0.1,0.7,.207,4.1,7.3,.564,.542,2.6,3.5,.737,3.2,6.2,9.4,1.2,0.8,0.8,1.7,3.8,11.3,1256,15.5,.590,.085,.443,11.6,24.6,17.8,6.0,1.3,2.7,14.9,16.4,,1.7,1.6,3.3,.127,,-2.1,-0.3,-2.4,-0.1,,,NO
Michael Carter-Williams,SG,28,ORL,42,0,18.4,2.5,5.8,.434,0.5,1.6,.294,2.0,4.1,.489,.475,1.7,2.1,.828,1.0,2.3,3.3,2.4,1.1,0.5,1.1,1.9,7.2,773,15.7,.539,.281,.360,5.9,13.8,9.7,19.4,2.8,2.3,14.6,18.4,,0.7,1.1,1.9,.116,,-1.3,1.7,0.4,0.5,,,NO
Alex Caruso,PG,25,LAL,58,1,17.8,1.9,4.5,.423,0.7,1.8,.355,1.2,2.6,.471,.496,1.0,1.3,.763,0.2,1.7,1.9,1.8,1.0,0.3,0.8,1.5,5.4,1032,11.0,.538,.412,.292,1.5,10.1,5.9,12.6,2.8,1.4,13.6,13.9,,0.6,1.6,2.2,.103,,-2.4,2.4,0.1,0.5,,,NO
Willie Cauley-Stein,C,26,TOT,54,39,20.3,3.2,5.6,.579,0.0,0.0,.000,3.2,5.6,.581,.579,0.7,1.2,.606,1.6,4.3,5.8,1.3,0.9,1.1,0.7,2.2,7.2,1097,17.0,.589,.003,.219,8.0,23.2,15.5,9.9,2.1,4.9,10.8,14.4,,1.5,1.5,3.0,.129,,-1.2,1.7,0.5,0.7,,,NO
Willie Cauley-Stein,C,26,GSW,41,37,22.9,3.5,6.3,.560,0.0,0.0,,3.5,6.3,.560,.560,0.9,1.4,.614,1.7,4.5,6.2,1.5,1.1,1.2,0.9,2.5,7.9,940,16.2,.573,.000,.222,7.9,22.0,14.7,9.9,2.3,4.8,11.0,14.4,,1.0,1.2,2.2,.113,,-1.5,1.6,0.1,0.5,,,NO
Willie Cauley-Stein,C,26,DAL,13,2,12.1,2.4,3.5,.689,0.0,0.1,.000,2.4,3.4,.705,.689,0.4,0.7,.556,1.0,3.6,4.6,0.8,0.3,0.8,0.4,1.5,5.2,157,22.3,.684,.022,.200,8.8,30.7,20.0,9.6,1.2,5.9,9.3,14.7,,0.5,0.3,0.8,.230,,1.0,2.3,3.2,0.2,,,NO
Tyson Chandler,C,37,HOU,26,5,8.4,0.5,0.7,.778,0.0,0.0,,0.5,0.7,.778,.778,0.2,0.5,.462,1.0,1.6,2.5,0.2,0.2,0.3,0.3,1.2,1.3,219,10.8,.717,.000,.722,11.9,19.8,15.8,3.5,1.3,3.1,25.2,6.0,,0.3,0.3,0.6,.130,,-2.5,1.1,-1.4,0.0,,,NO
Wilson Chandler,SF,32,BRK,35,3,21.0,2.1,5.2,.404,1.1,3.5,.306,1.1,1.8,.597,.505,0.6,0.7,.870,0.3,3.8,4.1,1.1,0.5,0.3,1.0,2.3,5.9,734,7.4,.531,.661,.126,1.6,18.3,10.2,7.4,1.0,1.4,15.0,13.0,,-0.1,0.9,0.8,.050,,-3.9,1.0,-2.9,-0.2,,,NO
Joe Chealey,PG,24,CHO,4,0,8.3,0.0,1.8,.000,0.0,1.0,.000,0.0,0.8,.000,.000,0.5,0.5,1.000,0.0,0.0,0.0,0.3,1.0,0.0,0.5,0.5,0.5,33,-2.8,.127,.571,.286,0.0,0.0,0.0,3.9,6.1,0.0,20.2,13.2,,-0.2,0.0,-0.1,-0.189,,-14.3,1.7,-12.6,-0.1,,,NO
Zylan Cheatham,SF,24,NOP,3,0,10.3,0.7,1.7,.400,0.0,0.3,.000,0.7,1.3,.500,.400,0.0,0.0,,0.3,1.7,2.0,0.7,0.0,0.3,1.0,1.7,1.3,31,0.1,.400,.200,.000,3.4,17.1,10.2,7.9,0.0,2.7,37.5,10.5,,-0.1,0.0,-0.1,-0.080,,-10.2,0.1,-10.2,-0.1,,,NO
Chris Chiozza,PG,24,TOT,21,0,11.9,1.5,3.8,.405,0.9,2.0,.439,0.7,1.8,.368,.519,0.1,0.1,1.000,0.3,1.4,1.7,2.3,0.7,0.1,0.8,1.1,4.0,249,12.9,.526,.519,.025,2.5,12.5,7.4,26.7,2.8,0.7,17.5,16.2,,0.1,0.3,0.4,.077,,-0.8,1.6,0.8,0.2,,,NO
Chris Chiozza,PG,24,WAS,10,0,12.3,1.0,3.4,.294,0.7,1.6,.438,0.3,1.8,.167,.397,0.0,0.0,,0.0,1.5,1.5,2.8,1.0,0.2,0.9,1.2,2.7,123,9.2,.397,.471,.000,0.0,13.9,6.7,28.9,3.8,1.4,20.9,14.5,,-0.1,0.1,0.0,-0.002,,-3.6,2.1,-1.4,0.0,,,NO
Chris Chiozza,PG,24,BRK,11,0,11.5,2.0,4.1,.489,1.0,2.3,.440,1.0,1.8,.550,.611,0.2,0.2,1.000,0.5,1.3,1.8,1.8,0.5,0.0,0.7,1.0,5.2,126,16.5,.621,.556,.044,5.0,11.2,8.2,24.5,1.9,0.0,14.8,17.9,,0.3,0.1,0.4,.154,,1.8,1.1,3.0,0.2,,,NO
Marquese Chriss,PF,22,GSW,59,21,20.3,3.6,6.5,.545,0.1,0.7,.205,3.4,5.9,.584,.556,2.0,2.6,.769,1.9,4.3,6.2,1.9,0.7,1.1,1.3,2.1,9.3,1196,19.4,.604,.101,.405,10.0,23.6,16.5,15.3,1.6,4.7,14.7,19.0,,2.1,1.3,3.4,.136,,0.1,0.5,0.6,0.8,,,NO
Gary Clark,PF,25,TOT,35,1,12.1,1.1,2.9,.376,0.8,2.5,.326,0.3,0.4,.667,.515,0.2,0.3,.889,0.8,1.7,2.4,0.4,0.1,0.4,0.1,0.9,3.2,425,10.3,.534,.851,.089,6.6,14.8,10.6,4.7,0.6,2.9,4.5,10.9,,0.5,0.4,0.9,.098,,-1.1,-1.1,-2.2,0.0,,,NO
Gary Clark,PF,25,HOU,18,0,11.8,1.3,3.3,.390,1.0,2.8,.353,0.3,0.4,.625,.542,0.3,0.4,.857,0.6,1.6,2.2,0.7,0.1,0.4,0.1,1.2,3.9,212,11.9,.564,.864,.119,5.4,14.4,9.9,7.6,0.4,2.8,3.1,12.5,,0.4,0.2,0.6,.126,,0.4,-0.9,-0.5,0.1,,,NO
Gary Clark,PF,25,ORL,17,1,12.5,0.9,2.5,.357,0.6,2.1,.286,0.3,0.4,.714,.476,0.1,0.1,1.000,0.9,1.7,2.6,0.2,0.2,0.4,0.2,0.6,2.5,213,8.8,.490,.833,.048,7.8,15.1,11.3,1.9,0.7,3.0,6.5,9.3,,0.1,0.2,0.3,.070,,-2.7,-1.3,-3.9,-0.1,,,NO
Brandon Clarke,PF,23,MEM,50,3,21.7,5.1,8.2,.623,0.4,1.0,.404,4.7,7.1,.654,.648,1.5,1.9,.785,1.6,4.3,5.8,1.4,0.5,0.8,0.9,1.6,12.0,1086,21.8,.670,.127,.228,7.7,20.3,14.1,10.1,1.1,3.3,9.3,19.0,,3.1,1.3,4.4,.192,,2.8,0.7,3.5,1.5,,,NO
Jordan Clarkson,SG,27,TOT,63,0,24.2,5.6,12.0,.465,2.1,5.6,.368,3.5,6.3,.550,.551,1.9,2.3,.841,0.7,1.9,2.7,2.0,0.7,0.2,1.3,1.5,15.1,1527,17.9,.583,.469,.193,3.5,8.5,6.0,13.4,1.4,0.8,9.1,25.5,,2.6,0.9,3.5,.110,,2.7,-1.1,1.6,1.4,,,NO
Jordan Clarkson,SG,27,CLE,29,0,23.0,5.0,11.2,.442,2.0,5.5,.371,2.9,5.8,.509,.532,2.6,3.0,.884,0.7,1.7,2.4,2.4,0.6,0.3,1.3,1.1,14.6,666,18.6,.581,.488,.264,3.5,8.1,5.8,17.0,1.2,1.0,9.7,25.9,,1.4,0.1,1.5,.108,,4.1,-1.4,2.7,0.8,,,NO
Jordan Clarkson,SG,27,UTA,34,0,25.3,6.1,12.6,.482,2.1,5.7,.366,4.0,6.9,.579,.566,1.4,1.7,.780,0.8,2.1,2.9,1.6,0.8,0.2,1.3,1.7,15.6,861,17.4,.584,.454,.138,3.5,8.8,6.2,10.5,1.5,0.7,8.7,25.3,,1.2,0.8,2.0,.112,,1.6,-0.9,0.7,0.6,,,NO
Nicolas Claxton,PF,20,BRK,15,0,12.5,1.8,3.2,.563,0.1,0.5,.143,1.7,2.7,.634,.573,0.7,1.4,.524,1.3,1.7,2.9,1.1,0.1,0.5,0.6,0.9,4.4,187,14.9,.577,.146,.438,10.7,13.4,12.1,12.6,0.3,3.5,13.6,14.8,,0.3,0.2,0.5,.124,,-0.7,0.0,-0.7,0.1,,,NO
Chris Clemons,SG,22,HOU,29,0,8.7,1.8,4.3,.405,1.1,3.2,.351,0.6,1.1,.563,.536,0.2,0.2,.857,0.1,0.7,0.8,0.8,0.2,0.2,0.6,0.7,4.9,251,12.6,.546,.746,.056,1.2,8.4,4.8,13.5,1.1,1.7,11.6,24.0,,0.1,0.2,0.2,.046,,0.4,-1.7,-1.3,0.1,,,NO
Antonius Cleveland,SG,25,DAL,6,0,3.7,0.3,1.0,.333,0.0,0.2,.000,0.3,0.8,.400,.333,0.2,0.3,.500,0.0,0.5,0.5,0.0,0.2,0.2,0.2,0.3,0.8,22,2.9,.363,.167,.333,0.0,14.0,7.1,0.0,2.2,3.9,12.7,15.3,,-0.1,0.0,0.0,-0.074,,-8.9,0.7,-8.3,0.0,,,NO
Amir Coffey,SG,22,LAC,13,0,7.5,1.0,2.5,.394,0.1,0.5,.143,0.9,2.0,.462,.409,0.1,0.2,.333,0.3,0.8,1.1,0.7,0.1,0.1,0.2,0.9,2.2,98,5.9,.408,.212,.091,4.3,10.3,7.4,12.6,0.5,0.9,8.0,15.8,,-0.1,0.1,0.0,.009,,-5.7,-1.1,-6.8,-0.1,,,NO
John Collins,PF,22,ATL,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6,1363,23.5,.659,.243,.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,,3.8,1.1,4.9,.174,,3.7,-0.7,3.1,1.7,,,NO
Zach Collins,PF,22,POR,3,3,28.7,3.0,6.3,.474,1.0,2.3,.429,2.0,4.0,.500,.553,2.0,2.0,1.000,1.3,2.7,4.0,2.0,0.0,0.7,2.0,3.7,9.0,86,9.0,.624,.368,.316,4.9,9.5,7.2,9.1,0.0,2.0,21.7,13.6,,0.1,0.0,0.1,.045,,-1.1,-0.7,-1.7,0.0,,,NO
